relation_name,score_rf,score_lr,score_combined
pages,3.2181183750543915e-08,5.4688861757132e-07,2.89534900660932e-07
testcap,3.1926215616622333e-08,5.453267653526313e-07,2.8862649048462687e-07
truckTopTens,2.9102810649369535e-08,5.477671484801664e-07,2.8843497956476796e-07
appearancesb,3.000865553368455e-08,5.433477207094043e-07,2.866781881215444e-07
totalArcaRaces,2.675383009060479e-08,5.456519358911512e-07,2.86202882990878e-07
hanja,2.6565041287713587e-08,5.417598841247309e-07,2.8416246270622225e-07
battlesLabel,2.5357526660533586e-08,5.370429265584479e-07,2.8120022660949074e-07
daviscupresult,2.2597335117630666e-08,5.318610114240302e-07,2.7722917327083044e-07
cagematch,2.8954255089513358e-08,5.248633325779831e-07,2.769087938337482e-07
truckPoles,2.5203279049082846e-08,5.229733615655721e-07,2.7408832030732746e-07
otherAppearances,2.8758649978769308e-08,5.1827354411452e-07,2.7351609704664463e-07
selectionProcess,2.7010980870107742e-08,5.175296479393014e-07,2.722703144047046e-07
letwins,2.4847789188202278e-08,5.166019570411953e-07,2.7072487311469877e-07
usopendoublesjuniorresult,2.677058651993605e-08,5.045384846586514e-07,2.656545355892937e-07
bestArcaPos,2.188113050238103e-08,5.042164946208054e-07,2.630488125615932e-07
wrestlingdata,2.352654509607914e-08,5.02005887427374e-07,2.6276621626172656e-07
testdebutdate,2.5791789171187118e-08,4.90548558153111e-07,2.581701736621491e-07
alternate,2.58385980863886e-08,4.861219038329498e-07,2.559802509596692e-07
ruCoachupdate,2.4903177549235302e-08,4.851795563233582e-07,2.5504136693629674e-07
minister,2.321312973881858e-08,4.841785882224106e-07,2.536958589806146e-07
year3end,2.4322449664083752e-08,4.792963639297538e-07,2.5180940679691876e-07
firstArcaRace,2.2375565278188796e-08,4.797914945340573e-07,2.5108352990612306e-07
super,2.2511324486346846e-08,4.7332997983295854e-07,2.479206521596527e-07
timestamp,2.157527021720368e-08,4.659202019796585e-07,2.437477360984311e-07
studio,2.28281780422897e-08,4.6147633210081996e-07,2.421522550715548e-07
mmaDqloss,1.873338030262886e-08,4.6154811702450837e-07,2.401407486635686e-07
